Business Agency Name,Address,City,State,Zip,County,Hours,Sponsoring Program,Dataset,Date Geocoded,Longitude,Latitude,Full Address
Walgreens,4001 E. 120th Avenue,Thornton,CO,80233,Adams,Call 303-451-5562 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,7/1/2016,-104.939151,39.914093,"4001 E. 120th Avenue, Thornton, CO, 80233"
Walgreens,1821 E. Bridge Street,Brighton,CO,80601,Adams,Call 720-685-3099 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,7/1/2016,-104.800354,39.986899,"1821 E. Bridge Street, Brighton, CO, 80601"
CU-Denver Police Department,12454 E. 19th Place,Aurora,CO,80045,Adams,"M-F, 8-5. Open holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/1/2016,-104.84272,39.744898,"12454 E. 19th Place, Aurora, CO, 80045"
Platte Valley Pharmacy,"1610 Prairie Center Pkwy, Suite 2110",Brighton,CO,80601,Adams,"M-F, 8-6. SA, 9-2. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-104.770851,39.965366,"1610 Prairie Center Pkwy, Suite 2110, Brighton, CO, 80601"
Brighton Police Department,3401 E. Bromley Lane,Brighton,CO,80601,Adams,"M-SU, 7-7. Open holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,4/7/2017,-104.782349,39.973214,"3401 E. Bromley Lane, Brighton, CO 80601"
Kaiser-Permanente,11245 Huron Street,Westminster,CO,80234,Adams,"M-F, 8-9. SA-SU, 8-6. Open holidays.",Kaiser-Permanente,Colorado Household Medication Collection Locations,6/28/2017,-104.997603,39.901904,"11245 Huron Street, Westminster, CO 80234"
Genoa Pharmacy,8989 Huron Street,Thornton,CO,80260,Adams,"M-F, 8:30-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,1/22/2018,-104.996674,39.858772,"8989 Huron Street, Thornton, CO, 80260"
Thornton Police Department,9551 Civic Center Drive,Thornton,CO,80229,Adams,"M-SA, 7:30-6. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,8/14/2018,-104.986074,39.869952,"9551 Civic Center Drive, Thornton, CO 80229"
Clinica Family Health - Pecos,1701 W. 72nd Avenue,Denver,CO,80221,Adams,"M, 8:30-5:30. TU-TH, 8:30-7:30. F, 8:30-4:30. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,8/29/2018,-105.007437,39.827671,"1701 W. 72nd Avenue, Denver, CO 80221"
Children's Hospital,13123 E. 16th Avenue,Aurora,CO,80045,Adams,24/7. Open holidays.,CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,10/15/2018,-104.834931,39.742249,"13123 E. 16th Avenue, Aurora, CO 80045"
Walgreens,6011 Dexter Street,Commerce City,CO,80022,Adams,Call 720-214-0199 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,11/5/2018,-104.932223,39.806408,"6011 Dexter Street, Commerce City, CO 80022"
Alamosa County Sheriff's Office,1315 17th Street,Alamosa,CO,81101,Alamosa,Call 719-589-6608 for agency hours.,Independent,Colorado Household Medication Collection Locations,7/1/2016,-105.876905,37.454836,"1315 17th Street, Alamosa, CO, 81101"
Valley Wide Pharmacy,1710 First Street,Alamosa,CO,81101,Alamosa,"M-F, 8-5 except 12:30-1:30. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-105.881721,37.472878,"1710 First Street, Alamosa, CO, 81101"
Genoa Pharmacy,"8745 County Road 9, Building A, Suite 152",Alamosa,CO,81101,Alamosa,"M-F, 8:30-5, except 12:15-12:45. Closed holidays",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,1/22/2018,-105.883339,37.444355,"8745 County Road 9, Suite 152, Alamosa, CO, 81101"
Walgreens,12051 E. Mississippi Avenue,Aurora,CO,80012,Arapahoe,Call 303-340-8860 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,7/1/2016,-104.847912,39.696805,"12051 E. Mississippi Avenue, Aurora, CO, 80012"
Arapahoe County Sheriff's Office,13101 E. Broncos Parkway,Centennial,CO,80112,Arapahoe,"M-F, 7-5:30. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/1/2016,-104.837463,39.579001,"13101 E. Broncos Parkway, Centennial, CO, 80112"
Littleton Police Department,2255 W. Berry Avenue,Littleton,CO,80120,Arapahoe,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/1/2016,-105.013635,39.618017,"2255 W. Berry Avenue, Littleton, CO, 80120"
Kaiser-Permanente,5555 E. Arapahoe Road,Centennial,CO,80122,Arapahoe,"M-F, 8-6. Closed holidays.",Kaiser-Permanente,Colorado Household Medication Collection Locations,8/29/2017,-104.92395,39.595226,"5555 E. Arapahoe Road, Centennial, CO 80122"
Benzer Pharmacy,568 US Highway 36,Byers,CO,80136,Arapahoe,"M-F, 9-7. SA, 9-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,4/30/2018,-104.219914,39.718448,"568 US Highway 36, Byers, CO 80136"
Genoa Pharmacy at Aurora Mental Health Center,"791 Chambers Road, Room 152",Aurora,CO,80011,Arapahoe,"M-F, 8:30-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,8/29/2018,-104.811081,39.727571,"791 Chambers Road, Room 152, Aurora, CO 80011"
Pagosa Springs Medical Center,95 S. Pagosa Boulevard,Pagosa Springs,CO,81147,Archuleta,"M-TH, 8-4. F, 8-noon. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,10/26/2018,-107.079137,37.252143,"95 S. Pagosa Boulevard, Pagosa Springs, CO 81147"
Bent County Sheriff's Office,11100 County Road GG.5,Las Animas,CO,81054,Bent,"M-F, 8-5. Open holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-103.218232,38.079052,"11100 County Road GG.5, Las Animas, CO, 81054"
Walgreens,1041 Main Street,Longmont,CO,80501,Boulder,Call 303-772-1111 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,7/1/2016,-105.102625,40.176581,"1041 Main Street, Longmont, CO, 80501"
